title,username,text,clean_text,sentiment
Seasons,ErikDavis,"@frankpallotta Fall is the best season in NYC, you have no idea what you're talking about. Hoodie weather forever!",fall is the best season in nyc you have no idea what you re talking about hoodie weather forever!,Neutral
My Octopus Teacher,moviemenfes,"/ MVS/ My Octopus Teacher. Get Oscar's Best Documentary Feature, Has anyone watched? https://t.co/wdr2upbjdc",mvs my octopus teacher get oscar s best documentary feature has anyone watched?,Neutral
Seasons,akstanwyck,Guillermo del Toro on Why the Masturbation Scene in ‘The Shape of Water’ Is so Vital: Awards Season Spotlight Profile https://t.co/kBQLGQn3cu via @indiewire,guillermo del toro on why the masturbation scene in the shape of water is so vital awards season spotlight profile via,Neutral
Hunger,slashfilm,Sam Claflin Officially Cast As Finnick Odair In ‘The Hunger Games: Catching Fire’ http://t.co/T2qMDh1K,sam claflin officially cast as finnick odair in the hunger games catching fire,Neutral
Why Do You Love Me,paradigmafilm,Even odd and Why Do You Love Me airs starting today in theaters. https://t.co/bnkp13g96f,even odd and why do you love me airs starting today in theaters,Neutral
Seasons,WatchmenID,"Set 1 year after the first CTS film, season 3 of the series this time explores the life of Koh Afuk after marrying Ci Helen.  Look at the ups and downs of wedding dramas until tempeh matters. Yes, tempeh! https://t.co/hlggrlcbah",set 1 year after the first cts film season 3 of the series this time explores the life of koh afuk after marrying ci helen look at the ups and downs of wedding dramas until tempeh matters yes tempeh!,Neutral
AKA,bicaraboxoffice,"@Theandan @kvnaugusty maung hideung aka black panther. Previous record, BVS.",maung hideung aka black panther previous record bvs,Neutral
Seasons,BFI,Explore how filmmakers have interpreted the WWI across generations with our mini season https://t.co/8qGYyTPD56 https://t.co/n17cMxHAKu,explore how filmmakers have interpreted the wwi across generations with our mini season,Neutral
Layar,Rivki_Mogi,"@montytiwa is there. Beriman ... the temptation of the temptation of TV and DVD. Remember, watching experience on the big screen remains not replaced by TV. Different feel. """,is there beriman the temptation of the temptation of tv and dvd remember watching experience on the big screen remains not replaced by tv different feel,Neutral
Your Place or Mine,slashfilm,You Can Turn Your Internet Into 'The Good Place' With This Forkin' Awesome Chrome Extension https://t.co/yBKQNMpBhI https://t.co/nstjnuKBnd,you can turn your internet into the good place with this forkin awesome chrome extension,Neutral
Seasons,akstanwyck,Everything We Need to Learn About the Fall Movie Season From TIFF — IndieWire’s Movie Podcast (Screen Talk Episode… https://t.co/8IpWs4sbS2 https://t.co/sQ9pfww2I3,everything we need to learn about the fall movie season from tiff indiewire s movie podcast screen talk episode,Neutral
Lightyear,danieldokter,"There aren't many times, the audience is concerned about Andy watching this in the trailer, especially the children. You know how they are Buzz Lightyear from Toy Story. The question is what they (and we) want to see the real version of Buzz but still animation?",there aren t many times the audience is concerned about andy watching this in the trailer especially the children you know how they are buzz lightyear from toy story the question is what they and we want to see the real version of buzz but still animation?,Neutral
Seasons,BFI,Missed Elaine Paige's @BBCRadio2 show yesterday? You can tune in on BBC Sounds now to hear about our new #BFIMusicals season https://t.co/ROwZrB5J46,missed elaine paige s show yesterday? you can tune in on bbc sounds now to hear about our new season,Neutral
AKA,ScreenSaversID,Just found out that the character next to Ezra Miller was played by Claudia Kim Aka. Ms. Doctor Ayu Helen Cho on Avengers 2 😍#FantasticBeasts https://t.co/loicdisjdr,just found out that the character next to ezra miller was played by claudia kim aka ms doctor ayu helen cho on avengers 2,Neutral
Seasons,CenayangFilm,@baldanism @Muhammadzaki59 Cool Season 1 ... Season 2 Mbah hasn't finished. A kind of tired Netflix can use Bolt. The one who blocked only had the telkom.,cool season 1 season 2 mbah hasn t finished a kind of tired netflix can use bolt the one who blocked only had the telkom,Neutral
65,akstanwyck,"RT @RottenTomatoes: Great weekend for movies: District 9, Ponyo and Bandslam all fresh, and Paper Heart (at 65%) expands to wide release.",great weekend for movies district 9 ponyo and bandslam all fresh and paper heart at 65 expands to wide release,Neutral
Seasons,slashfilm,Good news: #AbbottElementary is coming back for a second season. https://t.co/NtVfYQztjz,good news is coming back for a second season,Neutral
AKA,danieldokter,42. @Ivanfm aka Ivan Felix Manan. Screenwriter. #PIALAMAYA2012,42 aka ivan felix manan screenwriter,Neutral
Bayi Ajaib,djaycoholyc,The alien is similar to a devil in a magic baby 😭😭😭 #theorville,the alien is similar to a devil in a magic baby,Neutral
Rise,sinema911,What 3D movies have the effect of your version? If mimin when watching The Rise of the Guardian,what 3d movies have the effect of your version? if mimin when watching the rise of the guardian,Neutral
Death Note,GilaFilmID,The first #deathnote teaser Hollywood version that will be aired via Netflix. I want to make a serial live ... https://t.co/s9a3cncskf,the first teaser hollywood version that will be aired via netflix i want to make a serial live,Neutral
Rise,WatchmenID,Captive State.  Rupert Wyatt's latest work. Which makes Rise of the Planet of the Apes.  The trailer is interesting ... https://t.co/3mxl9yeemi,captive state rupert wyatt s latest work which makes rise of the planet of the apes the trailer is interesting,Positive
Seasons,GilaFilmID,"wow in season 4 that I finished watching, Red John Blom Blom who is responsible for who @taufiqrl",wow in season 4 that i finished watching red john blom blom who is responsible for who,Positive
Seasons,WatchmenID,wuohhh finally black mirror but romcom is back uploading season 3 20 October 2023 !!!  https://t.co/tjzsydgfcd,wuohhh finally black mirror but romcom is back uploading season 3 20 october 2023 !!!,Positive
Seasons,akstanwyck,"‘The Crown’ Season 4 First Trailer: Princess Diana, Margaret Thatcher Shake Up the Monarchy https://t.co/whAN2ttqCq via @indiewire",the crown season 4 first trailer princess diana margaret thatcher shake up the monarchy via,Neutral
Meter,commaditya,When my front tires suddenly leaked at the occasion. 500 meters from the nearest tire patch. You are willing to walk a little accompanying me. #Denyutcinta,when my front tires suddenly leaked at the occasion 500 meters from the nearest tire patch you are willing to walk a little accompanying me,Neutral
Moonlight,aerorun,"I think it's just the visuals that are wong kar-waiesque, it turns out the music too. #Moonlight",i think it s just the visuals that are wong kar waiesque it turns out the music too,Neutral
AKA,KermodeMovie,"@aka_i_d_i_o_t Agreed. But I didn't accuse people who don't like it of anything. Some close friends hate it. All good. But they don't think I was paid by Disney to like it! Oh, and HNY Adam!",agreed but i didn t accuse people who don t like it of anything some close friends hate it all good but they don t think i was paid by disney to like it! oh and hny adam!,Neutral
Seasons,paradigmafilm,13 Reasons Why Season 3 Final Trailer My Infoin Trailer once again so that it is excited.  This shuck is really deserved to die. So that's it ~ * even though it's still curious * https://t.co/fffdpcp2em,13 reasons why season 3 final trailer my infoin trailer once again so that it is excited this shuck is really deserved to die so that s it even though it s still curious,Negative
Lightyear,bicaraboxoffice,"Second, apparently the premise of this film confuses General Audience. That this is not the film Buzz Lightyear Woody's friend but the film that Andy watched as a child. And the buzz toy is this film merch. See, just write it complicated.",second apparently the premise of this film confuses general audience that this is not the film buzz lightyear woody s friend but the film that andy watched as a child and the buzz toy is this film merch see just write it complicated,Negative
Locked In,akstanwyck,"@juliahartowitz More a psychological thriller. I haven’t seen Mirage since I was a kid, but that film and The Window traumatized me! I will always be terrified of being locked in a stairwell, and of being chased by thugs who saw me witness a killing. Marathon Man is also scary.",more a psychological thriller i haven t seen mirage since i was a kid but that film and the window traumatized me! i will always be terrified of being locked in a stairwell and of being chased by thugs who saw me witness a killing marathon man is also scary,Negative
Nowhere,moviemenfes,girl from nowhere spoiler ⛔️ MVS Anjir wkwkw BRRTI SI NANAI who is pregnant huh?,girl from nowhere spoiler mvs anjir wkwkw brrti si nanai who is pregnant huh?,Neutral
Kung Fu Panda 2,danieldokter,"if abroad, ntn imax is good: p @farizvanjava kung fu panda 2 ordinary. Luckily, I didn't go abroad for this film",if abroad ntn imax is good p kung fu panda 2 ordinary luckily i didn t go abroad for this film,Negative
Geez & Ann,MovieManID,"Based on the novel by Sedu Remind 
Geez & amp; Ann 

Starring: Hanggini & amp; Junior Roberts https://t.co/29riwabygqj",based on the novel by sedu remind geez amp ann starring hanggini amp junior roberts,Neutral
Layar,bicaraboxoffice,"Congratulations to residents of the city of Bone who now have their own cinema, Planet Cinema Bone with 4 screens. The location is already in the cinepoint database, we are waiting for a rating from Bone!  https://t.co/qgwdowutbb",congratulations to residents of the city of bone who now have their own cinema planet cinema bone with 4 screens the location is already in the cinepoint database we are waiting for a rating from bone!,Neutral
Seasons,CenayangFilm,For season 3. The more crowded this is the Flash troops. 😱😱😱,for season 3 the more crowded this is the flash troops,Neutral
Si Doel the Movie 2,arulfittron,"96. Si Doel The Movie 2 (2019, H. Rano Karno) ★★ior
Introducing how to let go in the conflict of adult love, #SidoelThemovie2 is right. The conflict and character are more mature, until the emotions in the last 30 minutes feel more. Make a broken heart! https://t.co/tw64sisl4f",96 si doel the movie 2 2019 h rano karno ior introducing how to let go in the conflict of adult love is right the conflict and character are more mature until the emotions in the last 30 minutes feel more make a broken heart!,Positive
Seasons,djaycoholyc,@chroniclea3 @nclys weyyy don't be like that. Already season 5 :)))),weyyy don t be like that already season 5,Neutral
Noise,akstanwyck,"‘The Sound of Silence’ Review: Peter Sarsgaard Excels in a Sonic Drama That’s All Signal, No Noise — Sundance https://t.co/PwLJgUO0uk via @indiewire",the sound of silence review peter sarsgaard excels in a sonic drama that s all signal no noise sundance via,Neutral
The Little Mermaid,moviemenfes,Not patiently MVS The Little Mermaid !!!!!! 💞💞💞,not patiently mvs the little mermaid !!!!!!,Positive
Seasons,CenayangFilm,Beth is getting guessed. Duttons enemies and families are also increasingly complex. Season IV wants to be closed with a plot that does not need to be bombastic but just satisfying and fair ...,beth is getting guessed duttons enemies and families are also increasingly complex season iv wants to be closed with a plot that does not need to be bombastic but just satisfying and fair,Positive
Seasons,slashfilm,"Even Ravonna Renslayer is scared of the Marvel snipers, but Gugu Mbatha-Raw did tease that she's excited to go to some deeper, darker places"" in #Loki season 2. https://t.co/ppCdeTZEo5""",even ravonna renslayer is scared of the marvel snipers but gugu mbatha raw did tease that she s excited to go to some deeper darker places in season 2,Neutral
Ballerina,GilaFilmID,"By the way twd x john wick, norman reedus also joined in the spin-off john wick who ballerina with ana de armas 🥹🥹 https://t.co/9wpmWo3Whh https://t.co/h3tngaqwmt",by the way twd x john wick norman reedus also joined in the spin off john wick who ballerina with ana de armas,Neutral
Ne Zha,bicaraboxoffice,"#Nezha is now the best -selling animated film of all time in China, beating Zootopia.
Real Time Gross in Maoyan is a 1,996B or around $ 287.6M (!)
The finish projection? ¥ 4,493B or around $ 647.4m (bigger than endgame).
Super fantastic! https://t.co/kujkcmewi6",is now the best selling animated film of all time in china beating zootopia real time gross in maoyan is a 1 996b or around 287 6m ! the finish projection? 4 493b or around 647 4m bigger than endgame super fantastic!,Positive
You People,ErikDavis,"@mattsinger ... Or, as you say, does it all depend on how it's used. People still talk about the True Detective one.",or as you say does it all depend on how it s used people still talk about the true detective one,Neutral
Seasons,moviemenfes,"The Walking Dead is the Series Season 1 for a long time huh ??? Do you think I watched it ??? Back and forth want to watch the problem because the numbers are the season, is it exciting ??? Thanks MVS",the walking dead is the series season 1 for a long time huh ??? do you think i watched it ??? back and forth want to watch the problem because the numbers are the season is it exciting ??? thanks mvs,Neutral
Nowhere,moviemenfes,"‼ ️ Girl from Nowhere 2 Blood MVS‼ ️ Real Case But Still Keknya there are still many real cases similar to this. Celebrity Children/Officials hit innocent PPL on the streets, celebrities driving again drunk, crashing officers, etc ... https://t.co/cja55ib015",girl from nowhere 2 blood mvs real case but still keknya there are still many real cases similar to this celebrity children officials hit innocent ppl on the streets celebrities driving again drunk crashing officers etc,Neutral
Seasons,MovieManID,"The Nepo Baby finally officially team-up for revenge. Season 4 opened with a business fighting scene that actually did not understand, but exciting https://t.co/cnmrfsjht9",the nepo baby finally officially team up for revenge season 4 opened with a business fighting scene that actually did not understand but exciting,Positive
Seasons,kampusfilmID,"Still from #Marvel, Blooper Reel #Agentsofshield Season 4 is officially released!  #Madingkampus https://t.co/4vxhhH6KBV6",still from blooper reel season 4 is officially released!,Neutral
Cash,ErikDavis,"In Independence Day 2, the aliens finally ponied up the cash for the proper antivirus software. Now they're REALLY unstoppable!",in independence day 2 the aliens finally ponied up the cash for the proper antivirus software now they re really unstoppable!,Positive
Fair Play,rayculz,Otto represents Garuda Muda to get a trophy for the Fair Play Team.,otto represents garuda muda to get a trophy for the fair play team,Neutral
Layar,GilaFilmID,"What are this doing, there are @layar_tancep here. Very crowded https://t.co/uyj7zmy3rf",what are this doing there are here very crowded,Neutral
Layar,moviegoersID,@Filmlaramamarsha @idfilmcenter @layan_tancep @atcinemaylo @kofindo @salihara @penggilafilm @kfb_film @umbfilm already checked.,already checked,Neutral
Rise,BFI,"It's an odd piece, Eureka"" –Nicolas Roeg introduces the film that arrived alongside Margaret Thatcher's rise to power: http://bit.ly/hdrTqx""",it s an odd piece eureka nicolas roeg introduces the film that arrived alongside margaret thatcher s rise to power,Neutral
Cash,slashfilm,'Snabba Cash' Trailer: International Netflix Crime Series Reimagines the Swedish Film Trilogy https://t.co/PG9hdeVxg7 https://t.co/M0JmDDjSlg,snabba cash trailer international netflix crime series reimagines the swedish film trilogy,Neutral
Seasons,teppy87,@tishaanwar @netflixid already arrived season 15!,already arrived season 15!,Neutral
Layar,bicaraboxoffice,POLLING OD 2019 #Eempelayansexynew (3 October 2019) The number of screens on the first day is around 80+ Number of viewers The first day ....,polling od 2019 3 october 2019 the number of screens on the first day is around 80 number of viewers the first day,Neutral
Layar,GilaFilmID,"Which is said to have a name of @radityadika, follow the official account @film_indonesia the latest widescreen @cintadlmkardus",which is said to have a name of follow the official account the latest widescreen,Neutral
Turning Red,WatchmenID,"@Disneyplusid scope ""The storytelling that Turning Red brought was not so magnificent, but it actually made this film really even more appropriate to be served in the living room and watched together. Https://t.co/7ykgbpdbjn""",scope the storytelling that turning red brought was not so magnificent but it actually made this film really even more appropriate to be served in the living room and watched together,Positive
Layar,moviegoersID,#nobar thehobbit imax 3d with @totalfilmindo @layar_tancep @penggilafilm Details - Register here: http://t.co/rdsyivnb,thehobbit imax 3d with details register here,Neutral
Your Place or Mine,slashfilm,Place your bets!   https://t.co/9dofUawju1,place your bets!,Neutral
Seasons,moviemenfes,"What is this 2 season 2, huh? huhu sad bgt Timoti mvs https://t.co/cyrppgj9ob",what is this 2 season 2 huh? huhu sad bgt timoti mvs,Neutral
Lightyear,slashfilm,Bring home @super7store’s Sox from #Lightyear as your own personal robot companion.  https://t.co/odaXfGosID,bring home s sox from as your own personal robot companion,Neutral
The Little Mermaid,moviemenfes,"Two anime that is reimagining classic fairy tale stories is a new story that is fresh and related to the issue of the current era. Belle is similar to Beauty & Amp The Beast, if Bubble is similar to Little Mermaid MVS https://t.co/jrwtu5xrmu",two anime that is reimagining classic fairy tale stories is a new story that is fresh and related to the issue of the current era belle is similar to beauty amp the beast if bubble is similar to little mermaid mvs,Positive
Layar,sir_amirsyarif,@andibachtiar ha! Not a fan of 'avatar' too. And right. Once watched not on the big screen and don't use 3D ... what's the fuss again?,ha! not a fan of avatar too and right once watched not on the big screen and don t use 3d what s the fuss again?,Negative
Black Panther- Wakanda Forever,WatchmenID,Moment after the Teaser Black Panther Wakanda Forever presentation at SDCC 🥲🥲🥲🥲🥲🥲🥲 https://t.co/ycw36BNTPB,moment after the teaser black panther wakanda forever presentation at sdcc,Neutral
Seasons,WatchmenID,Series 1899 Dissembled and not continued Season 2! 😳 #wmidnews https://t.co/ukkpad5kep,series 1899 dissembled and not continued season 2!,Neutral
Buya Hamka,paradigmafilm,Who want to pre-order novel Buya Hamka Karya A. Fuadi and Komsi Komsa Karya E.S. Ito can order here ~ https://t.co/6tmmmhbaxiv https://t.co/ptpiaayxdx,who want to pre order novel buya hamka karya a fuadi and komsi komsa karya e s ito can order here,Neutral
Cash,djaycoholyc,"Still hesitant to make cash but wait for the coins to 30,000 for a long time too. #AirportCity",still hesitant to make cash but wait for the coins to 30 000 for a long time too,Neutral
What If,moviegoersID,"New series that you can watch this week: #whative season 1 (9 episodes - Disney+ Hostar) *Mcu Multiverse?  #ModernLove season 2 (8 episodes - Amazon Prime) *this is a horror ""🙈 #BrandnewcherryFlavor Season 1 (8 Episode - Netflix) *This is also a horror 👻 https://t.co/xsohythbb5""",new series that you can watch this week season 1 9 episodes disney hostar mcu multiverse? season 2 8 episodes amazon prime this is a horror season 1 8 episode netflix this is also a horror,Neutral
65,ErikDavis,@robertliefeld @TheInSneider $65 beats Thor and Cap's first outings,65 beats thor and cap s first outings,Neutral
Disenchanted,slashfilm,Can't Hardly Wait? Or Disenchanted? There are lots of great movies to watch on Disney+ and Hulu next month! https://t.co/rMQ0CPXF6C,can t hardly wait? or disenchanted? there are lots of great movies to watch on disney and hulu next month!,Neutral
Seasons,CenayangFilm,@widityaqiwiwii this is really goblo which is season 1 🤣🤣🤣,this is really goblo which is season 1,Neutral
65,GilaFilmID,The club Ryan Reynolds last night in the FA Cup.   2 ': Wrexham 0-1 Sheff Utd 50': Wrexham 1-1 Sheff Utd 61 ': Wrexham 2-1 Sheff Utd 65': Wrexham 2-2 Sheff Utd 71 ': Sheff Utd Play 10 Org 85': Wrexham 3-2 Sheff Utd 90+5 ': Thrilling bat 🥲 https://t.co/zyrbo4moxz,the club ryan reynolds last night in the fa cup 2 wrexham 0 1 sheff utd 50 wrexham 1 1 sheff utd 61 wrexham 2 1 sheff utd 65 wrexham 2 2 sheff utd 71 sheff utd play 10 org 85 wrexham 3 2 sheff utd 90 5 thrilling bat,Neutral
Maestro,aerorun,"In the film itself, the character played by Jack Black Mentioning Il Maestro Ennio Morricone",in the film itself the character played by jack black mentioning il maestro ennio morricone,Neutral
Layar,sir_amirsyarif,"@josepsibua @adhityamulya ya behind the scenes who knows how the process is, sir.",ya behind the scenes who knows how the process is sir,Neutral
Rise,akstanwyck,@Poynter They fueled his rise for traffic.,they fueled his rise for traffic,Neutral
Village,BFI,"From the early years of cultural behemoths like Glastonbury to intimate village affairs, summer memories are made of this. Enjoy our new Festival Fever collection on #BFIPlayer #BritainOnFilm https://t.co/D15BJgtDOs https://t.co/DKdQVLnho6",from the early years of cultural behemoths like glastonbury to intimate village affairs summer memories are made of this enjoy our new festival fever collection on,Neutral
Layar,danieldokter,"At the very least, along with the technical side that is quite proper, #Amdus is a big screen directing debut from Key Mangunsong who, although Old Fashioned, is worthy of calculation. So I Guess, a movie that successfully served its purpose is never a bad thing, right?",at the very least along with the technical side that is quite proper is a big screen directing debut from key mangunsong who although old fashioned is worthy of calculation so i guess a movie that successfully served its purpose is never a bad thing right?,Neutral
Layar,danieldokter,"The president in the beginning was really good. Finally, I just became a threat and the toilet in the cinema next to the screen smells more. It's really cool if you order a ticket for midnight directly to the office.",the president in the beginning was really good finally i just became a threat and the toilet in the cinema next to the screen smells more it s really cool if you order a ticket for midnight directly to the office,Neutral
Layar,GilaFilmID,"#Repost @layar_tancep with @repostapp ・ ・ ・ Jokes in the afternoon guys, don't take it seriously. #Galgad ... https://t.co/fblugpjWhh https://t.co/zoo6zqi6n",with jokes in the afternoon guys don t take it seriously,Neutral
AKA,sinema911,"Intrigued by the 'Age of Youth' aka 'Hello, My Twenties' which is said to be good, and it turns out it's really good!  Yes, even though I immediately watched the S2 because at @netflixid cm there was S2 and there was no S1. Free is like welcome to waikiki, then plus a touch of reality show. Hilarious severe. https://t.co/rprakqzcde",intrigued by the age of youth aka hello my twenties which is said to be good and it turns out it s really good! yes even though i immediately watched the s2 because at cm there was s2 and there was no s1 free is like welcome to waikiki then plus a touch of reality show hilarious severe,Positive
Seasons,CenayangFilm,The story of the tantrum teenager continues also in season 2 https://t.co/rwdbff8lon,the story of the tantrum teenager continues also in season 2,Neutral
Molly's Game,hafilova,"Strong manuscript, fast and sharp dialogue, back and forth & amp; Jessica's brilliant appearance Chastain MJD the biggest power of Aaron Sorkin's directing debut. Although SDKT Draggy in the second half & amp; The duration is a little too long, Molly's MS game is an interesting biopic spectacle, 3.5/5 https://t.co/yed9bleetf",strong manuscript fast and sharp dialogue back and forth amp jessica s brilliant appearance chastain mjd the biggest power of aaron sorkin s directing debut although sdkt draggy in the second half amp the duration is a little too long molly s ms game is an interesting biopic spectacle 3 5 5,Neutral
Seasons,slashfilm,"#TheSimpsons is now approaching its 34th season, but The Simpsons Movie was its last big pop culture moment. https://t.co/sEv29MlD3d",is now approaching its 34th season but the simpsons movie was its last big pop culture moment,Neutral
Rise,akstanwyck,"Best of the Week: 'Oz' Returns, Noomi Rapace Talks Rise to Movie Stardom, Reviews, News and More | http://t.co/rMjalOWaFt via @indiewire",best of the week oz returns noomi rapace talks rise to movie stardom reviews news and more via,Neutral
Rise,moviemenfes,The appearance of the car that will appear in MVS Transformer: Rise of the Beasts,the appearance of the car that will appear in mvs transformer rise of the beasts,Neutral
Strange World,moviemenfes,MVS Strange World is exciting? https://t.co/zw1djykz26,mvs strange world is exciting?,Neutral
Thunder Force,GilaFilmID,"Meeeeh, it turns out that Thunder Force. Octavia Spencer has played in comedy films but given a calm character. Melissa Mccharthy became a hard effort. I can't get a cool duet.",meeeeh it turns out that thunder force octavia spencer has played in comedy films but given a calm character melissa mccharthy became a hard effort i can t get a cool duet,Negative
Seasons,ErikDavis,"@sithlordolive Potentially, yes. Assuming season 3 will arrive in late 2022",potentially yes assuming season 3 will arrive in late 2022,Neutral
Seasons,HabisNontonFilm,Good News!  Finally Rick Riordan has confirmed the continuation of the production of Percy Jackson and the Olympians Season 1. Hopefully it will be finished quickly and air on @disneyplusid https://t.co/o6zzp1krqz,good news! finally rick riordan has confirmed the continuation of the production of percy jackson and the olympians season 1 hopefully it will be finished quickly and air on,Positive
Lightyear,ErikDavis,@bigscreenleaks I wonder if we get solo spots or a Disney+ reel that includes multiple shows &amp  sprinkles in new footage. Feels like Doc Strange &amp  Lightyear would also get plugged. Doesn’t feel quite time yet for Thor…,i wonder if we get solo spots or a disney reel that includes multiple shows amp sprinkles in new footage feels like doc strange amp lightyear would also get plugged doesn t feel quite time yet for thor,Neutral
Rise,eug,"Background on NYC Alamo Drafthouse, here's @nytimes article May '11: After Legal War, a West Side Landmark May Rise"" http://t.co/iq8fDb51""",background on nyc alamo drafthouse here s article may 11 after legal war a west side landmark may rise,Neutral
Accused,akstanwyck,Viggo Mortensen Says Being Accused of Racism After N-Word Quote Was ‘Unfair’ and ‘Dangerous’ https://t.co/d0JreOyuHi via @indiewire,viggo mortensen says being accused of racism after n word quote was unfair and dangerous via,Neutral
Seasons,sir_amirsyarif,"@aciel: season 7 (if I'm not mistaken), the season is now airing. Is the last season lost.",season 7 if i m not mistaken the season is now airing is the last season lost,Neutral
Hunger,ErikDavis,I didn't ... Did You Know: Dennis Quaid and Meg Ryan's Son Makes His Big-Screen Debut in 'The Hunger Games'? http://t.co/W73evk4H,i didn t did you know dennis quaid and meg ryan s son makes his big screen debut in the hunger games ?,Neutral
Layar,danieldokter,February 24 is determined as Dilan Day in Bandung 👏👏👏.  The entire screen - the entire cinema.  #Dilan1991 @falconpictures_ https://t.co/cdzgitbswi,february 24 is determined as dilan day in bandung the entire screen the entire cinema,Neutral
Seasons,ErikDavis,@Latinoreview the seasons changing is what's so great about NY - Iove the brisk nights with the smell of burning leaves  off in the distance,the seasons changing is what s so great about ny iove the brisk nights with the smell of burning leaves off in the distance,Positive
65,WatchmenID,"But from the story setting, 65 is arguably a very convincing world!  We are shown a prehistoric world full of distress.  Variations of 'dangers' in this film are complete and many that we have never seen in films about dinosaurs before. https://t.co/dkem7dixou",but from the story setting 65 is arguably a very convincing world! we are shown a prehistoric world full of distress variations of dangers in this film are complete and many that we have never seen in films about dinosaurs before,Positive
Hunger,sinema911,"Lebey ah: | RT @sisiliav: Wow, don't like that, this is a difficult choice:/ RT Cinemabalam: #Pickone Harry Potter or The Hunger Games?",lebey ah wow don t like that this is a difficult choice cinemabalam harry potter or the hunger games?,Neutral
Layar,HabisNontonFilm,@Cinemania_id @pecintafilmofcs @kampusfilmid @layan_tanncep @gilafilmid @montasefilm @podngopisusu @podstalgia @opinitengahmlm @idgeekinout premise & amp trailer.,premise amp trailer,Neutral
Qorin,GilaFilmID,Qorin appeared carefully and more slowly tend to require patience from the audience. During the process of absorbing the plot of the story not once or twice I was quite amazed by the technical movement of the camera in this film. https://t.co/m8ieeuukpp,qorin appeared carefully and more slowly tend to require patience from the audience during the process of absorbing the plot of the story not once or twice i was quite amazed by the technical movement of the camera in this film,Positive
Berlin Syndrome,cinemuach,"Cate Shortland (the director), this is what makes Berlin Syndrome (2017) with Black Widow (2021) BTW.

Really try this German film. The horror road trip mixed with beauty, showing the confusion of teenagers 14thn plus intense intense inner anger!

This original is good! https://t.co/f4vkf8mi6l",cate shortland the director this is what makes berlin syndrome 2017 with black widow 2021 btw really try this german film the horror road trip mixed with beauty showing the confusion of teenagers 14thn plus intense intense inner anger! this original is good!,Positive
Brick Mansions,danieldokter,"In loving memory of Paul Walker, Luc Besson's #BrickMansions looks really, really good!",in loving memory of paul walker luc besson s looks really really good!,Positive
Seasons,ErikDavis,@GermainLussier This is why they didn't win any games - they spent all season prepping for this,this is why they didn t win any games they spent all season prepping for this,Neutral
Layar,CenayangFilm,"Jiaaaah @wellydaykum: I just want to watch, the film has come down the screen, even though it was only a few days aired 😔😔",jiaaaah i just want to watch the film has come down the screen even though it was only a few days aired,Neutral
Seasons,slashfilm,White Lotus season 2 has received a premiere date of October 30 from HBO. https://t.co/kpvy8EpVr9,white lotus season 2 has received a premiere date of october 30 from hbo,Neutral
